STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,_merge
1,133,Alabama,Winston County,24882.0,24546.0,24468.0,24350.0,24307.0,24236.0,24321.0,24326.0,24068.0,23997.0,24412.0,24362.0,24193.0,24189.0,24139.0,23930.0,23907.0,23760.0,23693.0,23629.0,both
2,0,Alaska,Alaska,627499.0,633316.0,642691.0,650884.0,661569.0,669488.0,677325.0,682297.0,688125.0,698473.0,713910.0,722128.0,730443.0,737068.0,736283.0,737498.0,741456.0,739700.0,735139.0,731545.0,both
2,13,Alaska,Aleutians East Borough,2686.0,2461.0,2640.0,2677.0,2637.0,2637.0,2619.0,2818.0,2724.0,2744.0,3166.0,3259.0,3294.0,3343.0,3346.0,3373.0,3363.0,3455.0,3395.0,3337.0,both
2,16,Alaska,Aleutians West Census Area,5435.0,5343.0,5170.0,5439.0,5464.0,5422.0,5019.0,4763.0,4604.0,4659.0,5559.0,5582.0,5676.0,5777.0,5822.0,5781.0,5705.0,5729.0,5640.0,5634.0,both
2,20,Alaska,Anchorage Municipality,260586.0,263929.0,268163.0,271616.0,274852.0,276863.0,279935.0,278504.0,280471.0,286174.0,293321.0,296197.0,298255.0,301142.0,299893.0,297547.0,297249.0,294338.0,290521.0,288000.0,both
2,50,Alaska,Bethel Census Area,16103.0,16247.0,16541.0,16699.0,16834.0,16997.0,17090.0,17100.0,17215.0,17352.0,17084.0,17419.0,17656.0,17852.0,17936.0,17955.0,18022.0,18090.0,18219.0,18386.0,both
2,60,Alaska,Bristol Bay Borough,1230.0,1181.0,1136.0,1101.0,1093.0,1104.0,1038.0,997.0,956.0,881.0,1002.0,1030.0,979.0,951.0,947.0,904.0,902.0,869.0,880.0,836.0,both
2,68,Alaska,Denali Borough,1892.0,1840.0,1860.0,1863.0,1896.0,1835.0,1828.0,1805.0,1821.0,1851.0,1835.0,1872.0,1908.0,1943.0,1916.0,1933.0,2055.0,2084.0,2032.0,2097.0,both
2,70,Alaska,Dillingham Census Area,4922.0,4866.0,4951.0,4877.0,4921.0,4938.0,4945.0,4963.0,4926.0,4957.0,4850.0,4947.0,4949.0,4978.0,4983.0,4988.0,4970.0,4940.0,4991.0,4916.0,both
2,90,Alaska,Fairbanks North Star Borough,82769.0,85233.0,87329.0,89198.0,92301.0,94451.0,94803.0,97952.0,98351.0,98660.0,98264.0,98120.0,100311.0,100933.0,99254.0,99636.0,100633.0,99675.0,98565.0,96849.0,both
